catalogue_id	characteristic	source_name_v5	entity	implementation_status	current_output_field	characteristic_group	availability_stage	role	source	data_type	unit_or_values	definition	calculation	interpretation	empty_value_meaning	evidence_or_reference	notes
C001	accepted_answer_id	accepted_answer_id	Accepted answer	Implemented	accepted_answer_id	Non-calculated	Later human evidence	Resolution outcome	Posts.AcceptedAnswerId where PostTypeId = 1	text	answer identifier	The identifier of the answer selected as the solution by the question author at the dump snapshot.	The value is copied from Posts.AcceptedAnswerId on the selected question row when an accepted answer is recorded.	A present value means that the author selected an answer as the solution. The identifier locates that answer row.	Empty when the question has no accepted answer at the dump snapshot.		Produced by the current builder and mapped to the current output field.
C002	answer_body_html	answer_body_html	Answer	Available in current source		Non-calculated	Source dump record	Text	Posts.Body	nvarchar	HTML / text. Empty means the source or processed text is unavailable.	The complete content of an answer as originally stored, including HTML tags used for paragraphs, links, lists, and code formatting.	The value is copied from Posts.Body for the relevant source record.	HTML tags preserve paragraphs, lists, links, and code formatting. HTML-aware rendering shows that structure; answer_body_text provides a flattened text form.	An empty value means the source text is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C003	answer_creation_datetime	answer_creation_datetime	Answer	Available in current source		Non-calculated	Source dump record	Timestamp	Posts.CreationDate	datetime	UTC date and time, shown as YYYY-MM-DD hh:mm:ss with optional fractional seconds. Empty means that the event has no recorded timestamp.	The date and time when an answer was first posted.	The value is copied from Posts.CreationDate for the relevant source record.	The timestamp places the event in chronological order and supports elapsed-time calculations. Earlier timestamps occurred first.	An empty value means the event time is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C004	answer_id	answer_id	Answer	Available in current source		Non-calculated	Source dump record	Identifier	Posts.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number that identifies one answer.	The value is copied from Posts.Id for the relevant source record.	The value identifies one answer and links its body, posting time, score, and author information.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C005	badge_id	badge_id	Badge	Requires additional dump file		Non-calculated	Additional source record	Identifier	Badges.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number identifying one badge award made to one user.	The value is copied from Badges.Id for the relevant source record.	The value identifies one badge award and separates it from every other badge award in the source table.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C006	badge_user_id	badge_user_id	Badge	Requires additional dump file		Non-calculated	Additional source record	Identifier	Badges.UserId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the user who received the badge.	The value is copied from Badges.UserId for the relevant source record.	Matching this value with user_id identifies the account that received the badge.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C007	close_reason_type_id	close_reason_type_id	Question	Requires Data Explorer source		Non-calculated	Data Explorer record	Identifier	Stack Exchange Data Explorer PendingFlags.CloseReasonTypeId	tinyint	Integer category code defined by the source table. Equality comparison applies to the codes. Empty means the code is unavailable.	A category code describing why a question was proposed for closure.	The value is copied from PendingFlags.CloseReasonTypeId for the relevant source record.	The number is a category label. The close-reason definitions map each code to one closure-reason category.	An empty value means the related record or relationship is unavailable.		PendingFlags is absent from the official public XML dump. PostHistory.xml can record the reason for a completed closure, while the pending flag itself requires a separately documented Stack Exchange Data Explorer query.
C008	closed_datetime	closed_datetime	Question	Implemented	closed_datetime	Non-calculated	Later human evidence	Moderation outcome	Posts.ClosedDate where PostTypeId = 1	datetime	UTC datetime	The recorded date and time when a question in the closed state was closed.	The value is copied from Posts.ClosedDate on the selected question row when a closure event is recorded.	A present value means the dump records the question as closed. The timestamp places that moderation event in time.	Empty when the dump records the question in the open state.		Produced by the current builder and mapped to the current output field.
C009	comment_creation_datetime	comment_creation_datetime	Question comment	Available in current source		Non-calculated	Source dump record	Timestamp	Comments.CreationDate	datetime	UTC date and time, shown as YYYY-MM-DD hh:mm:ss with optional fractional seconds. Empty means that the event has no recorded timestamp.	The date and time when a comment was posted directly on the question.	The value is copied from Comments.CreationDate for the relevant source record.	The timestamp places the event in chronological order and supports elapsed-time calculations. Earlier timestamps occurred first.	An empty value means the event time is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C010	comment_id	comment_id	Question comment	Available in current source		Non-calculated	Source dump record	Identifier	Comments.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number identifying one comment posted on a question.	The value is copied from Comments.Id for the relevant source record.	The value identifies one comment and links its text, posting time, author, score, and target post.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
