position	characteristic	characteristic_group	availability_stage	role	source	data_type	unit_or_values	definition	calculation	interpretation	empty_value_meaning
1	site	Non-calculated	Provenance	Identifier	Command parameter	text	Stack Exchange host name	The Stack Exchange site from which the question was extracted.	The plain host supplied through --site is copied to every selected question row.	The value distinguishes communities because each Stack Exchange site has its own topics, accounts, and moderation practices.	Never empty in a valid output.
2	dump_snapshot_date	Non-calculated	Provenance	Provenance	Dump metadata	date	YYYY-MM-DD	The date represented by the downloaded Stack Exchange dump.	The date supplied through --dump-date is copied to every selected question row.	Every snapshot-based score, view, count, and text field is observed by this date, which defines the end of the observation period.	Never empty in a valid output.
3	question_id	Non-calculated	Question-time metadata	Identifier	Posts.Id where PostTypeId = 1	text	positive post identifier	The identifier assigned to the question by Stack Exchange.	The value is copied from Posts.Id on the selected question row where PostTypeId = 1.	The stable number supports record joins and identifies the same question across extracts and tables.	Never empty in a valid output.
4	question_url	Calculated by project	Provenance	Identifier	site and question_id	text	URL	The direct web address of the original question.	The site host and question_id are inserted into the address pattern https://{site}/questions/{question_id}.	The address identifies the public question page when that page remains available online.	Never empty in a valid output.
5	question_creation_datetime	Non-calculated	Question-time metadata	Timestamp	Posts.CreationDate where PostTypeId = 1	datetime	UTC datetime	The date and time when the question was posted.	The value is copied from Posts.CreationDate on the selected question row.	The timestamp places the question in a period or cohort. Stack Exchange dump timestamps are recorded in UTC.	Never empty in a valid output.
6	question_last_edit_datetime	Non-calculated	Dump-snapshot context	Timestamp	Posts.LastEditDate where PostTypeId = 1	datetime	UTC datetime	The most recent question edit time recorded in the dump.	The value is copied from Posts.LastEditDate on the selected question row when that attribute is present.	Comparison with the creation time identifies whether an edit occurred and gives the most recent recorded edit time.	Empty when the question has no recorded edit.
7	question_title	Non-calculated	Question content at dump snapshot	Text	Posts.Title where PostTypeId = 1	text	HTML-decoded text	The question title stored in the dump snapshot.	The value is copied from Posts.Title on the selected question row. XML entities are decoded during XML parsing.	The value is the short wording displayed above the question body in the dump snapshot.	Empty only when the source title is unavailable.
8	question_body_html	Non-calculated	Question content at dump snapshot	Text	Posts.Body where PostTypeId = 1	text	rendered HTML	The rendered HTML body of the question stored in the dump snapshot.	The value is copied from Posts.Body on the selected question row with its stored HTML markup.	The value preserves rendered formatting, code blocks, links, and images. HTML-aware software is required for display.	Empty only when the source body is unavailable.
9	question_body_text	Calculated by project	Question content at dump snapshot	Text	question_body_html	text	plain visible text	The visible wording of the question body in plain text, including visible code text.	The HTML is parsed, and visible text is joined with normalized spaces.	The value supports reading and text processing. Formatting is flattened into spaces while visible code text remains present.	Empty when the source body is empty.
10	question_tags_raw	Non-calculated	Question content at dump snapshot	Topic	Posts.Tags where PostTypeId = 1	text	<tag-a><tag-b>	The exact tag string stored on the question row.	The value is copied from Posts.Tags on the selected question row with the original angle-bracket notation.	The value supports source verification. Each tag appears between angle brackets in the original dump notation.	Empty when the question has no source tags.
11	question_tags	Calculated by project	Question content at dump snapshot	Topic	question_tags_raw	text	semicolon-separated tags	The question tags in a simple list that is easy to read and split.	Each name between angle brackets is extracted, and the names are joined with semicolons.	Semicolon separation yields the individual topic names. One question can carry several tags.	Empty when the question has no source tags.
12	question_content_license	Non-calculated	Provenance	Provenance	Posts.ContentLicense where PostTypeId = 1	text	licence name	The content licence recorded for the question row.	The value is copied from Posts.ContentLicense on the selected question row.	The licence, question URL, and author information govern sharing and reuse of question content.	Empty for an older source row that omits the licence field.
13	owner_user_id	Non-calculated	Question metadata at dump snapshot	Identifier	Posts.OwnerUserId where PostTypeId = 1	text	user identifier	The identifier of the question author when that account is available in the dump.	The value is copied from Posts.OwnerUserId on the selected question row.	The identifier supports attribution and source joins when the author account is available.	Empty for deleted or unavailable user accounts.
14	owner_display_name	Non-calculated	Question metadata at dump snapshot	Identifier	Posts.OwnerDisplayName where PostTypeId = 1	text	display name	The source display name stored directly on the post, mainly for authors without an available user identifier.	The value is copied from Posts.OwnerDisplayName on the selected question row when that attribute is present.	The source name supports attribution when Stack Exchange stores a name directly on the post.	Empty when the source row provides no direct display name.
15	question_score	Calculated by Stack Exchange	Later human evidence	Community reception	Posts.Score where PostTypeId = 1	integer	net votes	The question's voting result at the dump snapshot: up-votes increase the value and down-votes decrease it.	Stack Exchange calculates the net voting score and stores it in Posts.Score; the value is copied from the selected question row.	Positive values show more up-votes than down-votes, zero shows a balanced or limited voting result, and negative values show more down-votes.	Empty only when the source score is unavailable.
16	question_view_count	Calculated by Stack Exchange	Dump-snapshot context	Visibility	Posts.ViewCount where PostTypeId = 1	integer	views	The number of times Stack Exchange recorded the question page as viewed by the dump snapshot.	Stack Exchange maintains the view total in Posts.ViewCount; the value is copied from the selected question row.	Higher values show greater recorded exposure. Question age and site traffic also influence this count.	Empty when the source row omits the view count.
17	stackexchange_answer_count	Calculated by Stack Exchange	Later human evidence	Response outcome	Posts.AnswerCount where PostTypeId = 1	integer	answers	The number of answers shown in the count stored by Stack Exchange on the question row.	Stack Exchange maintains the answer total in Posts.AnswerCount; the value is copied from the selected question row.	Zero denotes no answer in the platform-maintained count. Comparison with available_answer_count identifies source-row differences.	Empty when the source count is unavailable.
18	has_stackexchange_answer	Calculated by project	Later human evidence	Response outcome	Derived from Posts.AnswerCount	boolean	TRUE or FALSE	A Boolean indicator showing whether the Stack Exchange platform-maintained answer count is greater than zero.	The value is TRUE when stackexchange_answer_count is greater than zero and FALSE when it equals zero.	TRUE means the platform-maintained count records at least one answer. A difference from has_available_answer indicates that the maintained count and the available answer rows describe different source states.	An empty value means Posts.AnswerCount is unavailable.
19	stackexchange_comment_count	Calculated by Stack Exchange	Later human evidence	Interaction outcome	Posts.CommentCount where PostTypeId = 1	integer	comments	The number of comments shown in the count stored by Stack Exchange on the question row.	Stack Exchange maintains the question-comment total in Posts.CommentCount; the value is copied from the selected question row.	Zero denotes no question comment in the platform-maintained count. Comparison with available_question_comment_count identifies source-row differences.	Empty when the source count is unavailable.
20	accepted_answer_id	Non-calculated	Later human evidence	Resolution outcome	Posts.AcceptedAnswerId where PostTypeId = 1	text	answer identifier	The identifier of the answer selected as the solution by the question author at the dump snapshot.	The value is copied from Posts.AcceptedAnswerId on the selected question row when an accepted answer is recorded.	A present value means that the author selected an answer as the solution. The identifier locates that answer row.	Empty when the question has no accepted answer at the dump snapshot.
21	closed_datetime	Non-calculated	Later human evidence	Moderation outcome	Posts.ClosedDate where PostTypeId = 1	datetime	UTC datetime	The recorded date and time when a question in the closed state was closed.	The value is copied from Posts.ClosedDate on the selected question row when a closure event is recorded.	A present value means the dump records the question as closed. The timestamp places that moderation event in time.	Empty when the dump records the question in the open state.
22	question_word_count	Calculated by project	Question content at dump snapshot	Text characteristic	question_body_html	integer	words	The number of word-like items in the question prose after code blocks and inline code are removed.	Preformatted and code elements are removed before visible-prose extraction and Unicode word-token counting.	Larger values mean longer prose. Question length combines with content and response evidence during difficulty analysis.	Zero when no prose words remain.
23	code_character_count	Calculated by project	Question content at dump snapshot	Code characteristic	Derived from Posts.Body	integer	Non-negative character count	The number of characters contained in HTML code elements in the question body, including whitespace.	Posts.Body is parsed as HTML, and the text length of every code element is summed once.	Zero means the question body contains no code element. Larger values indicate more code text.	The calculated field is always present; unavailable body HTML produces 0.
24	code_line_count	Calculated by project	Question content at dump snapshot	Code characteristic	question_body_html	integer	non-empty lines	The number of non-empty lines inside preformatted code blocks in the question.	Each pre element is extracted, and its non-empty text lines are counted.	Zero means the body contains no non-empty line in a preformatted code block. Larger values indicate more block-formatted code.	Zero when no preformatted code block is present.
25	link_count	Calculated by project	Question content at dump snapshot	Context characteristic	question_body_html	integer	links	The number of hyperlinks in the question body.	The value equals the number of HTML a elements containing an href attribute.	Zero means the question contains no hyperlink. Larger values indicate greater reliance on linked context.	Zero when no hyperlink is present.
26	image_count	Calculated by project	Question content at dump snapshot	Context characteristic	question_body_html	integer	images	The number of images embedded in the question body.	The value equals the number of HTML img elements.	Zero means the question contains no embedded image. Larger values indicate more visual material.	Zero when no image is present.
27	tag_count	Calculated by project	Question content at dump snapshot	Topic	question_tags	integer	tags	The number of tags attached to the question.	The value equals the number of parsed tag names.	The value is usually between one and the site tag limit. Larger values describe a question assigned to more topics.	Zero when no tag is present.
28	available_answer_count	Calculated by project	Later human evidence	Response outcome	Posts answer rows with ParentId = question_id	integer	available answer rows	The number of answer rows that are actually available in Posts.xml for the question.	The value equals the number of matching PostTypeId = 2 rows in the dump.	Zero means no answer row is available in Posts.xml. Larger values mean more human responses are available for analysis.	Zero when no answer row is available.
